c_pc	County Name	Precinct Name	Precinct Code	Region Name	Media Market	Registered Voters	Total Voters	Turnout Percentage
ASHTABULA_ADR	Ashtabula	PRECINCT MONROE TWP. 2	ADR	Northeast	Cleveland	656	494	0.75304878
ASHTABULA_ADS	Ashtabula	PRECINCT ROCK CREEK VILLAGE	ADS	Northeast	Cleveland	332	214	0.644578313
ASHTABULA_ADT	Ashtabula	PRECINCT MORGAN TWP.	ADT	Northeast	Cleveland	572	437	0.763986014
ASHTABULA_ADU	Ashtabula	PRECINCT NEW LYME TWP.	ADU	Northeast	Cleveland	646	488	0.755417957
ASHTABULA_ADV	Ashtabula	PRECINCT N KINGS VILL 1	ADV	Northeast	Cleveland	676	541	0.800295858
ASHTABULA_ADW	Ashtabula	PRECINCT N KINGS VILL 2	ADW	Northeast	Cleveland	949	679	0.715489989
ASHTABULA_ADX	Ashtabula	PRECINCT N KINGS VILL 3	ADX	Northeast	Cleveland	316	246	0.778481013
ASHTABULA_ADZ	Ashtabula	PRECINCT ORWELL TWP.	ADZ	Northeast	Cleveland	710	509	0.716901408
ASHTABULA_AEA	Ashtabula	PRECINCT ORWELL VILLAGE	AEA	Northeast	Cleveland	915	607	0.663387978
ASHTABULA_AEB	Ashtabula	PRECINCT PIERPONT TWP.	AEB	Northeast	Cleveland	667	490	0.734632684
ASHTABULA_AEC	Ashtabula	PRECINCT PLYMOUTH TWP. 1	AEC	Northeast	Cleveland	514	407	0.791828794
ASHTABULA_AED	Ashtabula	PRECINCT PLYMOUTH TWP. 2	AED	Northeast	Cleveland	893	705	0.789473684
ASHTABULA_AEF	Ashtabula	PRECINCT RICHMOND TWP.	AEF	Northeast	Cleveland	543	370	0.681399632
ASHTABULA_AEG	Ashtabula	PRECINCT ROME TWP.	AEG	Northeast	Cleveland	557	425	0.763016158
ASHTABULA_AEH	Ashtabula	PRECINCT SAYBROOK TWP. 1	AEH	Northeast	Cleveland	411	324	0.788321168
ASHTABULA_AEI	Ashtabula	PRECINCT SAYBROOK TWP. 2	AEI	Northeast	Cleveland	522	376	0.720306513
ASHTABULA_AEJ	Ashtabula	PRECINCT SAYBROOK TWP. 3	AEJ	Northeast	Cleveland	565	402	0.711504425
ASHTABULA_AEK	Ashtabula	PRECINCT SAYBROOK TWP. 4	AEK	Northeast	Cleveland	549	417	0.759562842
ASHTABULA_AEL	Ashtabula	PRECINCT SAYBROOK TWP. 5	AEL	Northeast	Cleveland	637	488	0.766091052
ASHTABULA_AEM	Ashtabula	PRECINCT SAYBROOK TWP. 6	AEM	Northeast	Cleveland	685	575	0.839416058
ASHTABULA_AEO	Ashtabula	PRECINCT SAYBROOK TWP. 7	AEO	Northeast	Cleveland	460	330	0.717391304
ASHTABULA_AEP	Ashtabula	PRECINCT SAYBROOK TWP. 8	AEP	Northeast	Cleveland	383	299	0.780678851
ASHTABULA_AEQ	Ashtabula	PRECINCT SHEFFIELD TWP. 1	AEQ	Northeast	Cleveland	434	333	0.767281106
ASHTABULA_AER	Ashtabula	PRECINCT SHEFFIELD TWP. 2	AER	Northeast	Cleveland	587	438	0.746166951
ASHTABULA_AES	Ashtabula	PRECINCT TRUMBULL TWP.	AES	Northeast	Cleveland	944	735	0.778601695
ASHTABULA_AEU	Ashtabula	PRECINCT WAYNE TWP.	AEU	Northeast	Cleveland	349	262	0.750716332
ASHTABULA_AEV	Ashtabula	PRECINCT WMSFLD TWP 1	AEV	Northeast	Cleveland	382	269	0.704188482
ASHTABULA_AEW	Ashtabula	PRECINCT WMSFLD TWP 2	AEW	Northeast	Cleveland	549	356	0.64845173
ASHTABULA_AEX	Ashtabula	PRECINCT WINDSOR TWP.	AEX	Northeast	Cleveland	852	630	0.73943662
ASHTABULA_AEZ	Ashtabula	PRECINCT ROAMING SHORES VILLAGE	AEZ	Northeast	Cleveland	1076	798	0.741635688
ATHENS_AAA	Athens	ATHENS 1-1	AAA	Southeast	Columbus	1404	851	0.606125356
ATHENS_AAB	Athens	ATHENS 1-2	AAB	Southeast	Columbus	628	440	0.700636943
ATHENS_AAD	Athens	ATHENS 1-3	AAD	Southeast	Columbus	1246	683	0.548154093
ATHENS_AAE	Athens	ATHENS 1-4	AAE	Southeast	Columbus	1626	834	0.512915129
ATHENS_AAF	Athens	ATHENS 1-5	AAF	Southeast	Columbus	408	247	0.605392157
ATHENS_AAG	Athens	ATHENS 2-1	AAG	Southeast	Columbus	1434	921	0.642259414
ATHENS_AAH	Athens	ATHENS 2-2	AAH	Southeast	Columbus	620	319	0.514516129
ATHENS_AAI	Athens	ATHENS 2-3	AAI	Southeast	Columbus	614	479	0.780130293
ATHENS_AAJ	Athens	ATHENS 2-4	AAJ	Southeast	Columbus	841	652	0.775267539
ATHENS_AAK	Athens	ATHENS 3-1	AAK	Southeast	Columbus	768	447	0.58203125
ATHENS_AAL	Athens	ATHENS 3-2	AAL	Southeast	Columbus	881	497	0.564131669
ATHENS_AAM	Athens	ATHENS 3-3	AAM	Southeast	Columbus	834	481	0.576738609
ATHENS_AAN	Athens	ATHENS 3-4	AAN	Southeast	Columbus	913	585	0.640744797
ATHENS_AAP	Athens	ATHENS 3-5	AAP	Southeast	Columbus	936	627	0.669871795
ATHENS_AAQ	Athens	ATHENS 3-6	AAQ	Southeast	Columbus	514	429	0.83463035
ATHENS_AAS	Athens	ATHENS 4-1	AAS	Southeast	Columbus	745	556	0.746308725
ATHENS_AAU	Athens	ATHENS 4-2	AAU	Southeast	Columbus	637	474	0.74411303
ATHENS_AAV	Athens	ATHENS 4-3	AAV	Southeast	Columbus	659	433	0.657056146
ATHENS_AAW	Athens	ATHENS 4-4	AAW	Southeast	Columbus	907	435	0.479603087
ATHENS_AAX	Athens	NELSONVILLE 1	AAX	Southeast	Columbus	630	374	0.593650794
ATHENS_AAZ	Athens	NELSONVILLE 2	AAZ	Southeast	Columbus	477	278	0.582809224
ATHENS_ABB	Athens	NELSONVILLE 3	ABB	Southeast	Columbus	694	370	0.53314121
ATHENS_ABD	Athens	NELSONVILLE 4	ABD	Southeast	Columbus	801	429	0.535580524
ATHENS_ABF	Athens	ALEXANDER EAST	ABF	Southeast	Columbus	1169	880	0.752780154
ATHENS_ABG	Athens	ALEXANDER WEST	ABG	Southeast	Columbus	692	533	0.770231214
ATHENS_ABH	Athens	AMES TOWNSHIP	ABH	Southeast	Columbus	731	575	0.786593707
ATHENS_ABI	Athens	AMESVILLE VLG	ABI	Southeast	Columbus	128	90	0.703125
ATHENS_ABJ	Athens	ATHENS BAKER	ABJ	Southeast	Columbus	1235	971	0.786234818
ATHENS_ABK	Athens	ATHENS EAST	ABK	Southeast	Columbus	468	348	0.743589744
ATHENS_ABL	Athens	ATHENS SOUTH	ABL	Southeast	Columbus	891	661	0.741863075
ATHENS_ABM	Athens	PLAINS 1	ABM	Southeast	Columbus	998	620	0.621242485
ATHENS_ABN	Athens	PLAINS 2	ABN	Southeast	Columbus	1126	810	0.719360568
ATHENS_ABO	Athens	BERN TOWNSHIP	ABO	Southeast	Columbus	383	270	0.704960836
ATHENS_ABP	Athens	CANAAN TOWNSHIP	ABP	Southeast	Columbus	1054	789	0.74857685
ATHENS_ABR	Athens	CARTHAGE TOWNSHIP	ABR	Southeast	Columbus	984	711	0.722560976
ATHENS_ABS	Athens	CHAUNCEY VLG	ABS	Southeast	Columbus	569	327	0.574692443
ATHENS_ABT	Athens	CIRCLE HILL	ABT	Southeast	Columbus	583	433	0.74271012
ATHENS_ABU	Athens	MILLFIELD	ABU	Southeast	Columbus	692	454	0.656069364
ATHENS_ABV	Athens	SUGAR CREEK	ABV	Southeast	Columbus	427	284	0.665105386
ATHENS_ABW	Athens	ALBANY VILLAGE	ABW	Southeast	Columbus	610	442	0.724590164
ATHENS_ABX	Athens	LEE TOWNSHIP	ABX	Southeast	Columbus	1393	1075	0.771715721
ATHENS_ABY	Athens	LODI TOWNSHIP	ABY	Southeast	Columbus	1009	744	0.737363726
ATHENS_ABZ	Athens	ROME TOWNSHIP	ABZ	Southeast	Columbus	859	601	0.699650757
ATHENS_ACB	Athens	JACKSONVILLE	ACB	Southeast	Columbus	314	213	0.678343949
ATHENS_ACC	Athens	TRIMBLE TOWNSHIP	ACC	Southeast	Columbus	1106	737	0.66636528
ATHENS_ACD	Athens	TRIMBLE VILLAGE	ACD	Southeast	Columbus	209	124	0.593301435
ATHENS_ACE	Athens	GLOUSTER VILLAGE	ACE	Southeast	Columbus	1005	605	0.60199005
ATHENS_ACI	Athens	COOLVILLE VILLAGE	ACI	Southeast	Columbus	314	194	0.617834395
ATHENS_ACJ	Athens	TROY EAST	ACJ	Southeast	Columbus	832	574	0.689903846
